Addis\4z\Attack, Wind, Blade\42, 53, 61; 322, 380, 435, 727, 727, 0\30, 37, 43; 226, 266, 305, 509, 509, 0\10\Bamboo Cutter;; Dignified Soul\Strength +3%/4%/5%/7%/10%;; (Wind) HP 80% = Water Res +1%/1%/3%/3%/5%\Bleeding Punisher +5%;; Bleeding Punisher +8%;;;; Freeze Res +50%;; Freeze Res +100%;;;; Broken Punisher +20%\Addis\Chiba Susumu\John Arthur\\M\Human\-\\\\
Addis(Valentines)\5s\Attack, Shadow, Bow\44, 55, 64; 337, 397, 455, 761, 761, 0\29, 36, 42; 220, 259, 297, 496, 496, 0\8\Coarse Judgement;; Love's Triumph\Skill Haste +8%/9%/11%/12%/15%;; (Shadow) HP Below 40% = Light Res +5%/6%/7%/8%/10%\Poisoned Punisher +25%;; Poisoned Punisher +30%;;;; Paralysis Res +50%;; Paralysis Res +100%;;;; HP Below 30% = Strength & Attack Rate II;; HP Below 30% = Strength & Attack Rate III\Addis\Chiba Susumu\John Arthur\\M\Human\-\\\\
Aeleen\4\Support, Wind, Lance\45, 55, 65; 340, 400, 459, 766, 766, 0\27, 34, 39; 208, 246, 281, 470, 470, 0\10\Valkyrie Blast;; Valhallan Ballad\HP +7%/8%/9%/12%/15%;; (Wind) Strength Doublebuff +5%/5%/7%/7%/9%\Buff Time +20%;; Buff Time +25%;;;; Freeze Res +50%;; Freeze Res +100%;;;; Slayer's Strength +4%\Aeleen\Fujimura Ayumi\Brittney Boni\\F\Human\-\KoG\\\
Aeleen(Nurse)\4\Healer, Water, Staff\46, 57, 66; 347, 409, 469, 784, 784, 0\26, 32, 38; 200, 235, 270, 452, 452, 0\8\Medicinal Cure;; Naturopathy\Recovery Potency +6%/8%/10%/14%/20%;; (Water) Dragon Haste +10%/10%/14%/14%/18%\Skill Prep +50%;; Skill Prep +75%;;;; Stun Res +50%;; Stun Res +100%;;;; United Haste I\Aeleen\Fujimura Ayumi\Brittney Boni\\F\Human\-\\\\
Akasha\5\Healer, Wind, Staff\47, 58, 68; 357, 421, 483, 807, 807, 0\27, 34, 39; 207, 245, 280, 468, 468, 0\8\Akashic Repose;; Vital Gate\Recovery Potency +10%/12%/14%/16%/20%;; (Wind) Above 10 Hits = Critical Rate +7%/8%/9%/10%/13%\Skill Prep +75%;; Skill Prep +100%;;;; Bog Res +50%;; Bog Res +100%;;;; HP 70% = Healing +13%;; HP 70% = Healing +15%\Akasha\Itoh Shizuka\France Perras\\F\Human\-\\\\
Alain\3\Defense, Flame, Lance\46, 57, 66; 348, 410, 470, 943, 786, 564\25, 31, 37; 194, 228, 262, 525, 438, 314\10\Noble Flame;; Blazing Rondel\HP +5%/7%/9%/12%/15%;; (Flame) HP Below 40% = Strength +10%/10%/11%/11%/12%\Last Defense +40%;; Last Defense +50%;; Last Defense +100%;;;; Stun Res +25%;; Stun Res +50%;; Potent Stun Res +50%;;;; Stun Res +25%;; Stun Res +50%\Alain\Saito Soma\Brian Joseph Benedict\\M\Human\-\KoG\\\
Albert\5\Attack, Light, Sword\27, 34, 39; 337, 397, 454, 758, 758, 0\29, 369, 42; 222, 595, 300, 502, 502, 0\10\Lightning Burst;; Thunderous Impulse\Dragon Haste +8%/9%/11%/12%/15%;; (Light) Paralysis = User Critical Rate +7%/8%/9%/10%/13%\Force Strike +40%;; Force Strike +50%;;;; Poison Res +50%;; Poison Res +100%;;;; Electrically Charged I;; Electrically Charged II\Albert\Midorikawa Hikaru\Jesse Inocalla\\M\Human\-\RoB\\\
Aldred\4w\Attack, Shadow, Blade\41, 41, 59; 311, 357, 420, 701, 701, 0\29, 29, 42; 219, 251, 296, 495, 495, 0\10\Wyrmbound Ruiner;; Fetters of Fear\Strength +3%/4%/5%/7%/10%;; (Shadow) HP Below 40% = Light Res +5%/5%/7%/7%/9%\Wyrmbound I;; Wyrmbound II;;;; Blindness Res +25%;; Blindness Res +50%;;;; The Beast Within\Aldred\Shimazaki Nobunaga\Max Lloyd-Jones\\M\Human\-\\Dragon Prep and Haste will have an effect on Dragondrive.\default; 130 + 120 gauge; 130 + 120 gauge; 220 + 120 gauge; 360 + 180 gauge; 660 uncharged / 900 charged + 180 gauge; 104; 200\
Alex\4y\Attack, Shadow, Dagger\42, 52, 61; 319, 376, 431, 719, 719, 0\28, 34, 40; 211, 248, 285, 476, 476, 0\10\Shadow Weaver;; Silent Reaper\Critical Rate +3%/4%/5%/7%/10%;; (Shadow) Poison = User Light Res 3%/3%/5%/5%/7%\Full HP = Skill Damage +30%;; Full HP = Skill Damage +35%;;;; Blindness Res +50%;; Blindness Res +100%;;;; Skill Haste +5%\Alex\Suwa Ayaka\Olivia Howard\\F\Human\-\\\\
Alfonse\5w\Attack, Light, Sword\43, 43, 62; 327, 375, 441, 883, 736, 529\28, 28, 41; 215, 247, 291, 584, 487, 349\10\Blue Radiance;; Sol\Dragon Haste +8%/9%/11%/12%/15%;; (Light) HP 60% = Strength +1%/2%/3%/4%/6%\Last Burst I;; Last Burst II;; Last Burst III;;;; Curse Res +50%;; Curse Res +100%;; Potent Curse Res +100%;;;; Skill Haste +6%;; Skill Haste +8%;; Skill Haste +10%\Alfonse\Suzuki Tatsuhisa\Ray Chase\FEH\M\Human\-\\\\
Althemia\3\Support, Shadow, Wand\43, 54, 63; 330, 389, 446, 893, 745, 535\27, 33, 39; 206, 242, 278, 557, 465, 333\8\Endless Nightmare;; Dark Abyss\Skill Damage +2%/5%/8%/11%/15%;; (Shadow) HP 80% = Light Res +1%/1%/2%/2%/3%\Full HP = Skill Damage +25%;; Full HP = Skill Damage +30%;; Full HP = Skill Damage +45%;;;; Paralysis Res +25%;; Paralysis Res +50%;; Potent Paralysis Res +50%;;;; Paralysis Res +25%;; Paralysis Res +50%\Althemia\Ueda Kana\Tabitha St. Germain\\F\Sylvan\-\\\\
