Fafnir Roy III\Flame\1\5740\300\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Flame Orb x20
Fafnir Roy III\Flame\2\10691\300\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Flame Orb x50
Fafnir Roy III\Flame\3\15640\600\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Blaze Orb x10
Fafnir Roy III\Flame\4\24304\600\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Blaze Orb x20
Fafnir Roy III\Flame\5\33586\1200\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Flamewyrm's Scale x40
Fafnir Roy III\Flame\6\69312\2400\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Inferno Orb x20
Fafnir Roy III\Flame\7\111647\4800\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Flamewyrm's Scaldscale x30
Fafnir Roy III\Flame\8\120114\4800\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Crimson Core x30
Fafnir Roy III\Flame\9\150143\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **40%**, Paralysis: **40%**, Blind: **40%**, Stun: **40%**, Curse: **40%**, Bog: **40%**, Sleep **40%**\~~None~~\\Vermilion Insignia x20
Fafnir Roy III\Flame\10\180173\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Epithet: Flame Champion (Lv. 10)
Fafnir Roy III\Flame\11\210202\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Vermilion Insignia x30
Fafnir Roy III\Flame\12\240230\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Vermilion Insignia x30
Fafnir Roy III\Flame\13\270259\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Vermilion Insignia x10
Fafnir Roy III\Flame\14\294582\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Vermilion Insignia x20
Fafnir Roy III\Flame\15\318905\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Twinkling Sand x2
Fafnir Roy III\Flame\16\343229\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Vermilion Insignia x30
Fafnir Roy III\Flame\17\367552\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Vermilion Insignia x40
Fafnir Roy III\Flame\18\391875\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Twinkling Sand x2
Fafnir Roy III\Flame\19\409903\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Eldwater x3000
Fafnir Roy III\Flame\20\427928\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Epithet: Flame Champion (Lv. 20)
Fafnir Roy III\Flame\21\435920\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Flame\22\453542\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Sunlight Ore x1
Fafnir Roy III\Flame\23\471162\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Flame\24\513567\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Crimson Core x30
Fafnir Roy III\Flame\25\555972\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Eldwater x5,000
Fafnir Roy III\Flame\26\598376\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Twinkling Sand x2
Fafnir Roy III\Flame\27\640781\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Flame\28\683185\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Flame\29\692751\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Sunlight Ore x1
Fafnir Roy III\Flame\30\702314\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Epithet: Flame Champion (Lv. 30)
Fafnir Roy III\Flame\31\711879\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Flame\32\721444\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Flame\33\731009\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Flame Champion (Lv. 33)
Fafnir Roy III\Flame\34\744166\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Sunlight Ore x1
Fafnir Roy III\Flame\35\757324\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Flame Champion (Lv. 35)
Fafnir Roy III\Flame\36\770483\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Golden Fragment x
Fafnir Roy III\Flame\37\783640\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Flame\38\796799\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Flame Champion (Lv. 38)
Fafnir Roy III\Flame\39\803174\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Sunlight Stone x1
