A Heartfelt Gift\5w\Support\1, 10\1, 10\Loving Heart;; Loving Heart\5000, 300\bukurote
An Indelible Date\5w\Attack\1, 115\1, 41\Broken Punisher +25%;; Broken Punisher +25%\5000, 300\
A Slice of Dragonyule\5w\Healing\22, 151\7, 53\Skill Prep +20%;; Skill Prep +25%;;;; Astral Ornament +25%;; Astral Ornament +50%;;;; Holiday Cheer +25%;; Holiday Cheer +50%\5000, 300\ni02
A Wish Upon the Yuletree\5s\Defense\28, 189\7, 51\HP 70% = Defense +8%;; HP 70% = Defense +10%;;;; Healing Doublebuff I;; Healing Doublebuff II;;;; Holiday Cheer +100%;; Holiday Cheer +150%\5000, 3000\ameya
Alberian Banner\3\Attack\10, 71\3, 25\Force Strike +10%;; Force Strike +20%\300, 150\ovr
Armorer's Aspirations\4\Defense\23, 156\5, 37\Full HP = Defense +15%;; Full HP = Defense +20%;;;; Poison Res +15%;; Poison Res +20%\2000, 1000\Masorosuke
Aromatherapy\3\Defense\11, 76\3, 20\Burn Res +15%;; Burn Res +20%\300, 150\ShuLa
As the Snow Falls\4w\Defense\18, 123\4, 33\Curse Res +15%;; Curse Res +20%;;;; Last Recovery I;; Last Recovery II\2000, 100\onineko
Astounding Trick\5w\Attack\22, 151\8, 54\HP 70 = Strength +8%;; HP 70 = Strength +10%;;;; Tent Canvas +25%;; Tent Canvas +50%;;;; Renown +25%;; Renown +50%\5000, 300\u-u-zan
Auspex's Prayer\5\Healing\28, 187\7, 53\Full HP = Healing +13%;; Full HP = Healing +15%;;;; Curse Res +20%;; Curse Res +25%\5000, 3000\hsn
Bellathorna\3\Support\10, 71\3, 25\Buff Time +10%;; Buff Time +15%\300, 150\Chiaki Negishi
Better Together\4w\Defense\18, 122\5, 34\Sleep Res +15%;; Sleep Res +20%;;;; HP 70% = Strength +3%;; HP 70% = Strength +5%;;;; Hypnos's Bane +30%;; Hypnos's Bane +35%\2000, 100\Oyume
Blossoms Ablaze\3\Attack\10, 70\3, 25\(Wind) Broken Punisher +15%;; (Wind) Broken Punisher +20%\300, 150\Meso
Braving the Unknown\4\Defense\23, 156\5, 37\Poison Res +20%;; Poison Res +25%;;;; Water Res +3%;; Water Res +5%\2000, 1000\77gl
Castaway's Journal\4\Defense\23, 156\5, 37\Paralysis Res +20%;; Paralysis Res +25%;;;; Light Res +3%;; Light Res +5%\2000, 1000\Torotaro
Cleo's Ruse\5\Support\28, 187\7, 53\HP 70% = Healing +10%;; HP 70% = Healing +13%;;;; Last Defense +30%;; Last Defense +40%\5000, 3000\LM7
Crown of Yore\3\Support\10, 71\3, 25\Skill Prep +10%;; Skill Prep +15%\300, 150\ALOMA
Cry of the Horn\3\Attack\10, 71\3, 25\Critical Damage +8%;; Critical Damage +10%\300, 150\Dragalia Lost Art Team
Crystalian Envoy\5\Attack\27, 183\8, 57\HP 70% = Strength +8%;; HP 70% = Strength +10%;;;; Flame Res +5%;; Flame Res +8%\5000, 3000\Soji Hisakata
Destiny's Hand\4\Healing\21, 145\7, 47\Recovery Potency +5%;; Recovery Potency +8%;;;; Skill Prep +10%;; Skill Prep +15%\2000, 1000\benitama
Dragon and Tamer\5\Attack\27, 183\8, 57\(Lance) Skill Damage +30%;; (Lance) Skill Damage +35%;;;; Shadow Res +5%;; Shadow Res +8%;;;; Renown +100%;; Renown +150%\5000, 3000\Mikeboshi
Dragon Arcanum\2\Support\5, 36\1, 12\Shapeshift Prep +5%;; Shapeshift Prep +8%\50, 0\Akira Miyazaki
Dragon Brethren\5\Support\27, 184\8, 56\Dragon Time +10%;; Dragon Time +15%;;;; Flame Res +5%;; Flame Res +8%\5000, 3000\ufotable
Dragon Dance\4w\Defense\18, 123\4, 33\Bog Res +40%;; Bog Res +50%\2000, 100\Kometani Hisanobu (米谷尚展)
Dragon's Nest\3\Support\10, 71\3, 25\Shapeshift Prep +8%;; Shapeshift Prep +10%\300, 150\Joshua Hutchinson
Dueling Dancers\4\Attack\22, 147\6, 45\Flurry Devastation +5%;; Flurry Devastation +8%;;;; Light Res +3%;; Light Res +5%\2000, 1000\N.A
Eight-Leaf Clover\3\Attack\10, 71\3, 25\Critical Damage +8%;; Critical Damage +10%\300, 150\mochuhiro
Elegant Escort\5w\Attack\1, 115\1, 41\Burning Punisher +25%;; Burning Punisher +25%\3000, 300\
Enchiridion\3\Support\10, 71\3, 25\Skill Haste +3%;; Skill Haste +4%\300, 150\ni02
Entwined Flames\4\Attack\21, 142\7, 50\Dragon Damage +6%;; Dragon Damage +10%\2000, 1000\ALOMA
Evening of Luxury\5\Attack\26, 176\9, 65\Full HP = Strength +10%;; Full HP = Strength +13%;;;; Critical Damage +10%;; Critical Damage +13%\5000, 3000\ovr
Fireside Gathering\4\Defense\23, 156\5, 37\Burn Res +20%;; Burn Res +25%;;;; Flame Res +3%;; Flame Res +5%\2000, 1000\Manabi Okada
Flash of Genius\5\Attack\27, 183\8, 57\Flurry Strength +13%;; Flurry Strength +15%;;;; Wind Res +5%;; Wind Res +8%\5000, 3000\Mikeboshi
Flower in the Fray\4\Attack\21, 140\7, 52\Critical Damage +10%;; Critical Damage +13%;;;; Skill Damage +10%;; Skill Damage +15%\2000, 1000\ni02
Forbidden Relic\3\Support\10, 71\3, 25\Gauge Inhibitor +15%;; Gauge Inhibitor +20%\300, 150\SEAL
Fresh Perspective\4\Attack\21, 140\7, 52\Force Strike +20%;; Force Strike +30%;;;; Skill Damage +10%;; Skill Damage +15%;;;; Windwhistle Grass +50%;; Windwhistle Grass +75%\2000, 1000\Nadare
Gale of Beauty\5\Attack\26, 177\9, 64\Broken Punisher +20%;; Broken Punisher +25%;;;; Dragon Time +8%;; Dragon Time +10%;;;; Divine Gales +100%;; Divine Gales +150%\5000, 3000\hsn
Garuda's Feathers\3\Defense\11, 76\3, 20\Full HP = Defense +13%;; Full HP = Defense +15%;;;; Windwhistle Grass +50%;; Windwhistle Grass +75%\300, 150\Mayoko
Gentle Winds\5\Healing\26, 176\9, 64\Skill Prep +20%;; Skill Prep +25%;;;; Full HP = Strength +8%;; Full HP = Strength +10%;;;; Divine Gales +100%;; Divine Gales +150%\5000, 3000\Mikeboshi
Give Me Your Wounded\5\Healing\28, 187\7, 53\Recovery Potency +8%;; Recovery Potency +10%;;;; Full HP = Defense +15%;; Full HP = Defense +20%\5000, 3000\Taro Kagawa
Glorious Tempest\5\Defense\24, 165\5, 39\High Midgardsormr Res +20%;; High Midgardsormr Res +25%;;;; Midgardsormr Res +15%;; Midgardsormr Res +20%;;;; Wind Res +3%;; Wind Res +5%\5000, 300\Eri Yanagawa
Greatwyrm Brunhilda\4\Defense\19, 127\4, 30\Brunhilda Res +15%;; Brunhilda Res +20%;;;; Flame Res +3%;; Flame Res +5%\2000, 100\Nejita
Greatwyrm Jupiter\4\Defense\19, 127\4, 30\Jupiter Res +15%;; Jupiter Res +20%;;;; Light Res +3%;; Light Res +5%\2000, 100\Nejita
Greatwyrm Mercury\4\Defense\19, 127\4, 30\Mercury Res +15%;; Mercury Res +20%;;;; Water Res +3%;; Water Res +5%\2000, 100\Nejita
Greatwyrm Midgardsormr\4\Defense\19, 127\4, 30\Midgardsormr Res +15%;; Midgardsormr Res +20%;;;; Wind Res +3%;; Wind Res +5%\2000, 100\Nejita
Greatwyrm Zodiark\4\Defense\19, 127\4, 30\Zodiark Res +15%;; Zodiark Res +20%;;;; Shadow Res +3%;; Shadow Res +5%\2000, 100\Nejita
Hallowed Mountains\3\Defense\11, 76\3, 20\Paralysis Res +15%;; Paralysis Res +20%\300, 150\Meso
Halo\3\Healing\10, 73\3, 23\Recovery Potency +3%;; Recovery Potency +5%\300, 150\Makoto Kinugoshi
Hanetsuki Rally\4s\Attack\21, 141\7, 51\Last Offense +20%;; Last Offense +30%;;;; Critical Rate +3%;; Critical Rate +4%\2000, 1000\Nijihara
Happier Times\4\Attack\21, 141\7, 51\Full HP = Skill Damage +25%;; Full HP = Skill Damage +30%;;;; Skill Haste +3%;; Skill Haste +4%\2000, 1000\Eku Uekura
Happy New Year!\5s\Defense\29, 195\6, 46\Light Res +8%;; Light Res +10%;;;; (Shadow) Paralysis Res +25%;; (Shadow) Paralysis Res +40%\5000, 3000\Naoki Saito
